28962,Ballard,11014,5:00 PM,11:00 PM,NE,4TH AVE BETWEEN CEDAR ST AND CLAY ST,Paid Parking,0,,Belltown - Weekday (North Subarea),
84790,Ballard,11015,4:00 PM,8:00 PM,S,NE 47TH ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,Paid Parking,5,4,University District (Core Subarea),Y
84654,Ballard,11020,10:00 AM,3:00 PM,S,NE 41ST ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,Paid Parking,4,4,University District (Core Subarea),Y
69133,Ballard - Weekday,14790,2:00 PM,2:00 AM,W,1ST AVE W BETWEEN WESTERN AVE W AND W JOHN ST,Paid Parking,2,2,Uptown (Edge Subarea),Y
54606,Ballard - Weekday,14806,6:00 PM,8:00 PM,NE,BOYLSTON AVE BETWEEN MARION ST AND MADISON ST,Paid Parking,5,6,First Hill - Weekday,
91894,Ballard - Weekday,14853,7:00 PM,4:00 AM,S,W THOMAS ST BETWEEN 2ND AVE W AND 3RD AVE W,Unrestricted Parking,6,9,Uptown (Unpaid Subarea),N
32129,Ballard - Weekday,14971,11:00 AM,7:00 PM,W,BOREN AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,Paid Parking,6,5,South Lake Union (10 Hour Subarea),Y
56082,Ballard - Weekday,15080,9:00 AM,10:00 AM,S,HARRISON ST BETWEEN YALE AVE N AND EASTLAKE AVE E,Paid Parking,8,6,South Lake Union (South Subarea),
79014,Ballard - Weekday,15218,9:00 AM,9:00 PM,SE,JEFFERSON ST BETWEEN 9TH AVE AND TERRY AVE,Restricted Parking Zone,4,4,First Hill - Weekday,
80030,Ballard - Weekday,15233,9:00 AM,7:00 PM,SE,OLIVE WAY BETWEEN TERRY AVE AND BOREN AVE,Paid Parking,4,2,Denny Triangle (North Subarea),Y
10165,Ballard - Weekday,15332,11:00 AM,10:00 PM,W,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,Paid Parking,10,4,South Lake Union (North Subarea),
79778,Ballard - Weekday,15336,9:00 AM,6:00 PM,S,MERCER SR ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,Paid Parking,3,2,South Lake Union (2 Hour Subarea),Y
68493,Ballard - Weekday,15372,9:00 AM,3:00 PM,N,W HARRISON ST BETWEEN 1ST AVE W AND 2ND AVE W,Time Limited Parking,2,2,Uptown (Unpaid Subarea),N
33338,Ballard - Weekday,15387,6:00 PM,6:00 AM,NE,FREMONT PL N BETWEEN FREMONT AVE N AND N 36TH ST,Paid Parking,7,4,Fremont - Weekday (Paid Subarea),
47201,Ballard - Weekday,15461,5:00 PM,10:00 PM,W,15TH AVE E BETWEEN E DENNY WAY AND E JOHN SR ST,Time Limited Parking,9,8,15th Avenue (Unpaid Subarea),N
58442,Ballard Locks,15563,6:00 PM,9:00 PM,S,THOMAS ST BETWEEN 6TH AVE N AND AURORA AVE N,Paid Parking,4,0,Uptown Triangle,Y
75769,Ballard Locks - Weekday (Summer),15665,2:00 PM,8:00 PM,SW,6TH AVE BETWEEN COLUMBIA ST AND MARION ST,Paid Parking,20,21,Commercial Core (Financial Subarea),Y
